leave_balance_id,employee_id,leave_type,total_days,used_days,remaining_days,year,updated_at
LB0066,EMP017,Sick Leave,10,2,8,2026,2026-09-06T17:00:00
LB0067,EMP017,Personal Leave,6,0,6,2026,2026-09-09T15:45:00
LB0068,EMP017,Parental Leave,20,19,1,2026,2026-09-15T14:30:00
LB0069,EMP018,Annual Leave,22,12,10,2026,2026-09-17T09:30:00
LB0070,EMP018,Sick Leave,12,1,11,2026,2026-09-10T17:45:00
LB0071,EMP018,Personal Leave,6,5,1,2026,2026-09-10T08:15:00
LB0072,EMP018,Parental Leave,20,19,1,2026,2026-09-02T08:15:00
LB0073,EMP019,Annual Leave,25,3,22,2026,2026-09-05T12:30:00
LB0074,EMP019,Sick Leave,12,1,11,2026,2026-09-01T15:45:00
LB0075,EMP019,Personal Leave,3,1,2,2026,2026-09-13T16:15:00
LB0076,EMP019,Parental Leave,30,17,13,2026,2026-09-22T13:00:00
LB0077,EMP020,Annual Leave,25,11,14,2026,2026-09-02T14:00:00
LB0078,EMP020,Sick Leave,12,1,11,2026,2026-09-11T17:45:00
LB0079,EMP020,Personal Leave,6,3,3,2026,2026-09-23T14:30:00
LB0080,EMP020,Parental Leave,15,12,3,2026,2026-09-01T13:15:00
LB0081,EMP021,Annual Leave,30,7,23,2026,2026-09-23T13:00:00
LB0082,EMP021,Sick Leave,12,1,11,2026,2026-09-08T14:45:00
LB0083,EMP021,Personal Leave,6,0,6,2026,2026-09-13T12:30:00
LB0084,EMP021,Parental Leave,15,10,5,2026,2026-09-06T09:00:00
LB0085,EMP022,Annual Leave,30,8,22,2026,2026-09-07T13:30:00
LB0086,EMP022,Sick Leave,15,10,5,2026,2026-09-05T11:00:00
LB0087,EMP022,Personal Leave,3,2,1,2026,2026-09-07T10:15:00
LB0088,EMP022,Parental Leave,30,2,28,2026,2026-09-06T15:45:00
LB0089,EMP023,Annual Leave,30,12,18,2026,2026-09-19T15:30:00
LB0090,EMP023,Sick Leave,15,5,10,2026,2026-09-05T15:00:00
LB0091,EMP023,Personal Leave,5,3,2,2026,2026-09-21T12:30:00
LB0092,EMP023,Parental Leave,30,1,29,2026,2026-09-12T16:00:00
LB0093,EMP024,Annual Leave,25,7,18,2026,2026-09-15T08:00:00
LB0094,EMP024,Sick Leave,12,4,8,2026,2026-09-03T09:45:00
LB0095,EMP024,Personal Leave,5,4,1,2026,2026-09-18T08:45:00
LB0096,EMP024,Parental Leave,30,20,10,2026,2026-09-07T13:45:00
LB0097,EMP025,Annual Leave,30,2,28,2026,2026-09-02T15:00:00
LB0098,EMP025,Sick Leave,12,11,1,2026,2026-09-03T16:15:00
LB0099,EMP025,Personal Leave,3,1,2,2026,2026-09-23T15:45:00
LB0100,EMP025,Parental Leave,30,16,14,2026,2026-09-20T10:30:00
LB0101,EMP026,Annual Leave,25,4,21,2026,2026-09-13T14:30:00
LB0102,EMP026,Sick Leave,15,9,6,2026,2026-09-02T13:00:00
LB0103,EMP026,Personal Leave,5,0,5,2026,2026-09-18T14:30:00
LB0104,EMP026,Parental Leave,20,19,1,2026,2026-09-05T13:00:00
LB0105,EMP027,Annual Leave,30,10,20,2026,2026-09-05T13:30:00
LB0106,EMP027,Sick Leave,15,11,4,2026,2026-09-22T14:15:00
LB0107,EMP027,Personal Leave,6,5,1,2026,2026-09-03T12:45:00
LB0108,EMP027,Parental Leave,30,10,20,2026,2026-09-05T16:00:00
LB0109,EMP028,Annual Leave,25,8,17,2026,2026-09-12T08:30:00
LB0110,EMP028,Sick Leave,12,2,10,2026,2026-09-07T13:45:00
LB0111,EMP028,Personal Leave,3,1,2,2026,2026-09-05T10:00:00
LB0112,EMP028,Parental Leave,20,3,17,2026,2026-09-17T16:00:00
LB0113,EMP029,Annual Leave,25,12,13,2026,2026-09-20T10:45:00
LB0114,EMP029,Sick Leave,10,2,8,2026,2026-09-06T17:15:00
LB0115,EMP029,Personal Leave,6,3,3,2026,2026-09-02T14:30:00
LB0116,EMP029,Parental Leave,30,7,23,2026,2026-09-15T17:30:00
LB0117,EMP030,Annual Leave,25,3,22,2026,2026-09-18T11:30:00
LB0118,EMP030,Sick Leave,12,3,9,2026,2026-09-12T17:45:00
LB0119,EMP030,Personal Leave,5,2,3,2026,2026-09-13T16:45:00
LB0120,EMP030,Parental Leave,15,6,9,2026,2026-09-20T10:30:00
LB0121,EMP031,Annual Leave,20,10,10,2026,2026-09-16T13:00:00
LB0122,EMP031,Sick Leave,15,8,7,2026,2026-09-04T12:00:00
LB0123,EMP031,Personal Leave,3,2,1,2026,2026-09-15T16:15:00
LB0124,EMP031,Parental Leave,20,2,18,2026,2026-09-08T15:30:00
LB0125,EMP032,Annual Leave,20,6,14,2026,2026-09-02T14:30:00
LB0126,EMP032,Sick Leave,10,6,4,2026,2026-09-03T13:15:00
LB0127,EMP032,Personal Leave,3,2,1,2026,2026-09-04T13:15:00
LB0128,EMP032,Parental Leave,15,1,14,2026,2026-09-10T15:15:00
LB0129,EMP033,Annual Leave,25,7,18,2026,2026-09-20T08:00:00
LB0130,EMP033,Sick Leave,10,4,6,2026,2026-09-07T10:45:00
LB0131,EMP033,Personal Leave,3,2,1,2026,2026-09-08T12:00:00
LB0132,EMP033,Parental Leave,15,7,8,2026,2026-09-14T17:45:00
LB0133,EMP034,Annual Leave,20,1,19,2026,2026-09-16T17:00:00
LB0134,EMP034,Sick Leave,15,8,7,2026,2026-09-19T11:15:00
LB0135,EMP034,Personal Leave,5,3,2,2026,2026-09-01T17:30:00
LB0136,EMP034,Parental Leave,15,13,2,2026,2026-09-06T09:30:00
LB0137,EMP035,Annual Leave,20,8,12,2026,2026-09-18T16:00:00
LB0138,EMP035,Sick Leave,12,7,5,2026,2026-09-02T14:30:00
LB0139,EMP035,Personal Leave,5,5,0,2026,2026-09-01T13:00:00
LB0140,EMP035,Parental Leave,20,7,13,2026,2026-09-24T09:30:00
LB0141,EMP036,Annual Leave,22,0,22,2026,2026-09-12T16:30:00
LB0142,EMP036,Sick Leave,15,2,13,2026,2026-09-22T15:45:00
LB0143,EMP036,Personal Leave,6,1,5,2026,2026-09-05T09:45:00
LB0144,EMP036,Parental Leave,15,9,6,2026,2026-09-07T08:15:00
LB0145,EMP037,Annual Leave,20,5,15,2026,2026-09-10T16:45:00
LB0146,EMP037,Sick Leave,15,7,8,2026,2026-09-09T08:15:00
LB0147,EMP037,Personal Leave,5,2,3,2026,2026-09-02T13:30:00
LB0148,EMP037,Parental Leave,15,11,4,2026,2026-09-14T14:45:00
LB0149,EMP038,Annual Leave,25,5,20,2026,2026-09-06T15:45:00
LB0150,EMP038,Sick Leave,12,12,0,2026,2026-09-17T12:00:00
LB0151,EMP038,Personal Leave,6,3,3,2026,2026-09-03T14:15:00
LB0152,EMP038,Parental Leave,30,9,21,2026,2026-09-11T09:00:00
LB0153,EMP039,Annual Leave,25,10,15,2026,2026-09-10T12:45:00
LB0154,EMP039,Sick Leave,15,11,4,2026,2026-09-14T10:45:00
LB0155,EMP039,Personal Leave,5,3,2,2026,2026-09-02T13:45:00
LB0156,EMP039,Parental Leave,20,20,0,2026,2026-09-02T09:45:00
LB0157,EMP040,Annual Leave,25,8,17,2026,2026-09-24T10:00:00
LB0158,EMP040,Sick Leave,10,9,1,2026,2026-09-22T15:00:00
LB0159,EMP040,Personal Leave,3,0,3,2026,2026-09-08T13:30:00
LB0160,EMP040,Parental Leave,20,18,2,2026,2026-09-02T17:15:00
LB0161,EMP041,Annual Leave,25,5,20,2026,2026-09-12T15:00:00
LB0162,EMP041,Sick Leave,15,2,13,2026,2026-09-17T13:45:00
LB0163,EMP041,Personal Leave,5,5,0,2026,2026-09-09T11:00:00
LB0164,EMP041,Parental Leave,15,5,10,2026,2026-09-16T16:45:00
LB0165,EMP042,Annual Leave,30,1,29,2026,2026-09-09T12:45:00
LB0166,EMP042,Sick Leave,10,9,1,2026,2026-09-10T15:15:00
LB0167,EMP042,Personal Leave,3,1,2,2026,2026-09-03T15:15:00
LB0168,EMP042,Parental Leave,30,14,16,2026,2026-09-03T13:30:00
LB0169,EMP043,Annual Leave,20,8,12,2026,2026-09-18T12:30:00
LB0170,EMP043,Sick Leave,10,10,0,2026,2026-09-06T13:15:00
LB0171,EMP044,Annual Leave,20,3,17,2026,2026-09-05T11:45:00
LB0172,EMP044,Sick Leave,10,5,5,2026,2026-09-18T17:30:00
LB0173,EMP044,Personal Leave,5,4,1,2026,2026-09-05T17:00:00
LB0174,EMP044,Parental Leave,15,9,6,2026,2026-09-13T15:45:00
LB0175,EMP045,Annual Leave,25,9,16,2026,2026-09-03T10:30:00
LB0176,EMP045,Sick Leave,15,1,14,2026,2026-09-15T15:30:00
LB0177,EMP045,Personal Leave,3,1,2,2026,2026-09-05T14:00:00
LB0178,EMP045,Parental Leave,15,4,11,2026,2026-09-10T10:15:00
LB0179,EMP046,Annual Leave,25,11,14,2026,2026-09-08T13:30:00
LB0180,EMP046,Sick Leave,10,4,6,2026,2026-09-07T16:30:00
LB0181,EMP046,Personal Leave,3,2,1,2026,2026-09-20T16:00:00
LB0182,EMP046,Parental Leave,30,20,10,2026,2026-09-06T17:15:00
LB0183,EMP047,Annual Leave,22,10,12,2026,2026-09-20T17:30:00
LB0184,EMP047,Sick Leave,15,0,15,2026,2026-09-01T09:00:00
LB0185,EMP047,Personal Leave,6,6,0,2026,2026-09-19T12:15:00
LB0186,EMP047,Parental Leave,30,13,17,2026,2026-09-20T08:45:00
LB0187,EMP048,Annual Leave,30,4,26,2026,2026-09-21T12:45:00
LB0188,EMP048,Sick Leave,10,10,0,2026,2026-09-13T12:45:00
LB0189,EMP048,Personal Leave,3,0,3,2026,2026-09-06T15:45:00
LB0190,EMP048,Parental Leave,20,14,6,2026,2026-09-07T13:15:00
LB0191,EMP049,Annual Leave,25,11,14,2026,2026-09-11T13:45:00
LB0192,EMP049,Sick Leave,10,5,5,2026,2026-09-17T16:00:00
LB0193,EMP049,Personal Leave,5,1,4,2026,2026-09-15T09:30:00
LB0194,EMP049,Parental Leave,20,7,13,2026,2026-09-05T09:00:00
LB0195,EMP050,Annual Leave,25,6,19,2026,2026-09-20T14:15:00
LB0196,EMP050,Sick Leave,10,5,5,2026,2026-09-19T13:15:00
LB0197,EMP050,Personal Leave,3,3,0,2026,2026-09-17T15:45:00
LB0198,EMP050,Parental Leave,20,15,5,2026,2026-09-01T09:45:00
LB0199,EMP051,Annual Leave,30,7,23,2026,2026-09-08T11:30:00
LB0200,EMP051,Sick Leave,10,0,10,2026,2026-09-10T15:45:00
LB0201,EMP051,Personal Leave,5,4,1,2026,2026-09-01T09:45:00
LB0202,EMP051,Parental Leave,15,8,7,2026,2026-09-24T13:45:00
LB0203,EMP052,Annual Leave,25,0,25,2026,2026-09-13T08:15:00
LB0204,EMP052,Sick Leave,12,8,4,2026,2026-09-10T09:45:00
LB0205,EMP052,Personal Leave,6,3,3,2026,2026-09-18T12:00:00
LB0206,EMP052,Parental Leave,15,3,12,2026,2026-09-13T13:30:00
LB0207,EMP053,Annual Leave,30,5,25,2026,2026-09-05T11:45:00
LB0208,EMP053,Sick Leave,15,0,15,2026,2026-09-02T08:15:00
LB0209,EMP053,Personal Leave,6,2,4,2026,2026-09-16T16:45:00
LB0210,EMP053,Parental Leave,15,4,11,2026,2026-09-11T17:30:00
LB0211,EMP054,Annual Leave,22,6,16,2026,2026-09-20T12:30:00
LB0212,EMP054,Sick Leave,15,8,7,2026,2026-09-18T15:30:00
LB0213,EMP054,Personal Leave,5,0,5,2026,2026-09-12T13:00:00
LB0214,EMP054,Parental Leave,20,18,2,2026,2026-09-10T08:45:00
LB0215,EMP055,Annual Leave,25,10,15,2026,2026-09-19T17:15:00
LB0216,EMP055,Sick Leave,15,0,15,2026,2026-09-19T15:15:00
LB0217,EMP055,Personal Leave,6,5,1,2026,2026-09-24T17:45:00
LB0218,EMP055,Parental Leave,15,7,8,2026,2026-09-02T17:00:00
LB0219,EMP056,Annual Leave,22,0,22,2026,2026-09-15T13:45:00
LB0220,EMP056,Sick Leave,10,6,4,2026,2026-09-23T11:45:00
LB0221,EMP056,Personal Leave,6,6,0,2026,2026-09-20T15:00:00
LB0222,EMP056,Parental Leave,30,4,26,2026,2026-09-17T11:30:00
LB0223,EMP057,Annual Leave,25,8,17,2026,2026-09-13T13:15:00
LB0224,EMP057,Sick Leave,12,8,4,2026,2026-09-11T16:30:00
LB0225,EMP057,Personal Leave,6,6,0,2026,2026-09-24T12:45:00
LB0226,EMP057,Parental Leave,15,7,8,2026,2026-09-09T16:30:00
LB0227,EMP058,Annual Leave,22,4,18,2026,2026-09-10T11:45:00
LB0228,EMP058,Sick Leave,12,7,5,2026,2026-09-12T16:30:00
LB0229,EMP058,Personal Leave,5,0,5,2026,2026-09-19T16:45:00
LB0230,EMP058,Parental Leave,20,11,9,2026,2026-09-05T12:00:00
LB0231,EMP059,Annual Leave,25,11,14,2026,2026-09-03T13:45:00
LB0232,EMP059,Sick Leave,15,4,11,2026,2026-09-24T15:15:00
LB0233,EMP059,Personal Leave,3,2,1,2026,2026-09-18T12:15:00
LB0234,EMP059,Parental Leave,15,7,8,2026,2026-09-08T08:15:00
LB0235,EMP060,Annual Leave,22,0,22,2026,2026-09-04T14:30:00
LB0236,EMP060,Sick Leave,15,7,8,2026,2026-09-04T10:00:00
LB0237,EMP060,Personal Leave,6,1,5,2026,2026-09-14T15:45:00
LB0238,EMP060,Parental Leave,30,6,24,2026,2026-09-10T13:30:00
LB0239,EMP061,Annual Leave,20,12,8,2026,2026-09-03T17:15:00
LB0240,EMP061,Sick Leave,15,11,4,2026,2026-09-24T08:15:00
LB0241,EMP061,Personal Leave,5,1,4,2026,2026-09-02T14:45:00
LB0242,EMP061,Parental Leave,15,9,6,2026,2026-09-02T08:30:00
LB0243,EMP062,Annual Leave,30,9,21,2026,2026-09-04T13:30:00
LB0244,EMP062,Sick Leave,12,10,2,2026,2026-09-18T16:45:00
LB0245,EMP062,Personal Leave,3,3,0,2026,2026-09-09T11:00:00
LB0246,EMP062,Parental Leave,20,5,15,2026,2026-09-24T15:30:00
LB0247,EMP063,Annual Leave,22,0,22,2026,2026-09-24T13:30:00
LB0248,EMP063,Sick Leave,15,10,5,2026,2026-09-07T10:45:00
LB0249,EMP063,Personal Leave,5,4,1,2026,2026-09-11T09:45:00
LB0250,EMP063,Parental Leave,30,3,27,2026,2026-09-06T10:45:00
LB0251,EMP064,Annual Leave,25,3,22,2026,2026-09-01T12:45:00
LB0252,EMP064,Sick Leave,10,7,3,2026,2026-09-09T13:30:00
LB0253,EMP064,Personal Leave,6,5,1,2026,2026-09-19T08:30:00
LB0254,EMP064,Parental Leave,30,11,19,2026,2026-09-23T11:00:00
LB0255,EMP065,Annual Leave,20,7,13,2026,2026-09-10T10:45:00
LB0256,EMP065,Sick Leave,15,8,7,2026,2026-09-23T12:00:00
LB0257,EMP065,Personal Leave,6,2,4,2026,2026-09-12T17:15:00
LB0258,EMP065,Parental Leave,15,4,11,2026,2026-09-16T10:45:00
LB0259,EMP066,Annual Leave,30,5,25,2026,2026-09-14T16:45:00
LB0260,EMP066,Sick Leave,15,12,3,2026,2026-09-22T11:15:00
LB0261,EMP066,Personal Leave,6,6,0,2026,2026-09-20T09:45:00
LB0262,EMP066,Parental Leave,30,11,19,2026,2026-09-03T17:00:00
LB0263,EMP067,Annual Leave,20,8,12,2026,2026-09-17T11:15:00
LB0264,EMP067,Sick Leave,10,5,5,2026,2026-09-17T15:00:00
LB0265,EMP067,Personal Leave,6,1,5,2026,2026-09-23T17:45:00
LB0266,EMP067,Parental Leave,15,14,1,2026,2026-09-02T15:15:00
LB0267,EMP068,Annual Leave,30,6,24,2026,2026-09-15T17:00:00
LB0268,EMP068,Sick Leave,15,7,8,2026,2026-09-22T12:00:00
LB0269,EMP068,Personal Leave,5,2,3,2026,2026-09-01T11:00:00
LB0270,EMP068,Parental Leave,15,13,2,2026,2026-09-12T09:00:00
LB0271,EMP069,Annual Leave,20,7,13,2026,2026-09-02T12:45:00
LB0272,EMP069,Sick Leave,10,2,8,2026,2026-09-21T14:30:00
LB0273,EMP069,Personal Leave,5,3,2,2026,2026-09-13T14:00:00
LB0274,EMP069,Parental Leave,30,17,13,2026,2026-09-05T13:00:00
LB0275,EMP070,Annual Leave,22,8,14,2026,2026-09-13T16:15:00
LB0276,EMP070,Sick Leave,15,3,12,2026,2026-09-01T08:30:00
LB0277,EMP070,Personal Leave,5,5,0,2026,2026-09-24T16:45:00
LB0278,EMP070,Parental Leave,30,12,18,2026,2026-09-08T11:45:00
LB0279,EMP071,Annual Leave,25,2,23,2026,2026-09-09T11:00:00
LB0280,EMP071,Sick Leave,10,10,0,2026,2026-09-14T17:00:00
LB0281,EMP071,Personal Leave,3,1,2,2026,2026-09-03T09:00:00
LB0282,EMP071,Parental Leave,20,19,1,2026,2026-09-22T08:15:00
LB0283,EMP072,Annual Leave,20,6,14,2026,2026-09-15T11:15:00
LB0284,EMP072,Sick Leave,10,2,8,2026,2026-09-17T12:15:00
LB0285,EMP072,Personal Leave,6,4,2,2026,2026-09-11T17:30:00
LB0286,EMP072,Parental Leave,15,9,6,2026,2026-09-05T16:15:00
LB0287,EMP073,Annual Leave,25,4,21,2026,2026-09-09T08:15:00
LB0288,EMP073,Sick Leave,15,10,5,2026,2026-09-14T16:45:00
LB0289,EMP073,Personal Leave,3,2,1,2026,2026-09-21T14:30:00
LB0290,EMP073,Parental Leave,30,13,17,2026,2026-09-14T10:30:00
LB0291,EMP074,Annual Leave,25,2,23,2026,2026-09-18T15:15:00
LB0292,EMP074,Sick Leave,10,4,6,2026,2026-09-23T10:45:00
LB0293,EMP074,Personal Leave,3,3,0,2026,2026-09-14T16:15:00
LB0294,EMP074,Parental Leave,20,7,13,2026,2026-09-09T11:30:00
LB0295,EMP075,Annual Leave,20,7,13,2026,2026-09-12T09:15:00
LB0296,EMP075,Sick Leave,10,4,6,2026,2026-09-13T17:00:00
LB0297,EMP075,Personal Leave,3,1,2,2026,2026-09-19T16:15:00
LB0298,EMP075,Parental Leave,20,6,14,2026,2026-09-11T12:00:00
LB0299,EMP076,Annual Leave,22,3,19,2026,2026-09-24T09:45:00
LB0300,EMP076,Sick Leave,10,9,1,2026,2026-09-23T11:45:00
LB0301,EMP076,Personal Leave,3,2,1,2026,2026-09-10T14:45:00
LB0302,EMP076,Parental Leave,30,20,10,2026,2026-09-12T12:30:00
LB0303,EMP077,Annual Leave,25,8,17,2026,2026-09-16T15:00:00
LB0304,EMP077,Sick Leave,15,7,8,2026,2026-09-11T11:30:00
LB0305,EMP077,Personal Leave,5,3,2,2026,2026-09-02T17:15:00
LB0306,EMP077,Parental Leave,30,4,26,2026,2026-09-01T12:45:00
LB0307,EMP078,Annual Leave,25,2,23,2026,2026-09-07T13:15:00
LB0308,EMP078,Sick Leave,12,9,3,2026,2026-09-08T15:30:00
LB0309,EMP078,Personal Leave,5,3,2,2026,2026-09-24T15:45:00
LB0310,EMP078,Parental Leave,15,11,4,2026,2026-09-06T10:45:00
LB0311,EMP079,Annual Leave,22,8,14,2026,2026-09-21T08:00:00
LB0312,EMP079,Sick Leave,10,10,0,2026,2026-09-02T08:45:00
LB0313,EMP079,Personal Leave,3,1,2,2026,2026-09-03T10:00:00
LB0314,EMP079,Parental Leave,15,14,1,2026,2026-09-12T08:45:00
LB0315,EMP080,Annual Leave,25,0,25,2026,2026-09-01T16:45:00
LB0316,EMP080,Sick Leave,10,0,10,2026,2026-09-17T12:30:00
LB0317,EMP080,Personal Leave,3,3,0,2026,2026-09-06T09:00:00
LB0318,EMP080,Parental Leave,30,4,26,2026,2026-09-08T11:30:00
LB0319,EMP081,Annual Leave,25,4,21,2026,2026-09-13T09:30:00
LB0320,EMP081,Sick Leave,12,7,5,2026,2026-09-19T11:15:00
LB0321,EMP081,Personal Leave,5,5,0,2026,2026-09-03T08:00:00
LB0322,EMP081,Parental Leave,20,12,8,2026,2026-09-13T16:45:00
LB0323,EMP082,Annual Leave,20,10,10,2026,2026-09-01T10:00:00
LB0324,EMP082,Sick Leave,12,6,6,2026,2026-09-21T13:00:00
LB0325,EMP082,Personal Leave,6,0,6,2026,2026-09-08T11:45:00
LB0326,EMP082,Parental Leave,20,1,19,2026,2026-09-03T12:00:00
LB0327,EMP083,Annual Leave,22,5,17,2026,2026-09-01T11:15:00
LB0328,EMP083,Sick Leave,15,6,9,2026,2026-09-03T12:15:00
LB0329,EMP083,Personal Leave,6,1,5,2026,2026-09-19T14:30:00
LB0330,EMP083,Parental Leave,20,4,16,2026,2026-09-23T09:30:00
LB0331,EMP084,Annual Leave,20,1,19,2026,2026-09-14T11:00:00
LB0332,EMP084,Sick Leave,12,9,3,2026,2026-09-20T17:45:00
LB0333,EMP084,Personal Leave,5,0,5,2026,2026-09-21T12:45:00
LB0334,EMP084,Parental Leave,20,7,13,2026,2026-09-12T16:45:00
LB0335,EMP085,Annual Leave,25,2,23,2026,2026-09-22T17:45:00
LB0336,EMP085,Sick Leave,10,9,1,2026,2026-09-10T11:00:00
LB0337,EMP085,Personal Leave,3,2,1,2026,2026-09-05T14:15:00
LB0338,EMP085,Parental Leave,30,12,18,2026,2026-09-11T13:00:00
LB0339,EMP086,Annual Leave,20,0,20,2026,2026-09-10T15:30:00
LB0340,EMP086,Sick Leave,12,1,11,2026,2026-09-05T09:15:00
LB0341,EMP086,Personal Leave,5,3,2,2026,2026-09-18T16:45:00
LB0342,EMP086,Parental Leave,15,0,15,2026,2026-09-03T13:00:00
LB0343,EMP087,Annual Leave,30,9,21,2026,2026-09-11T14:00:00
LB0344,EMP087,Sick Leave,12,6,6,2026,2026-09-13T09:15:00
LB0345,EMP087,Personal Leave,6,4,2,2026,2026-09-06T14:15:00
LB0346,EMP087,Parental Leave,15,8,7,2026,2026-09-10T12:45:00
LB0347,EMP088,Annual Leave,22,1,21,2026,2026-09-06T14:30:00
LB0348,EMP088,Sick Leave,12,4,8,2026,2026-09-16T09:30:00
LB0349,EMP088,Personal Leave,5,1,4,2026,2026-09-24T15:15:00
LB0350,EMP088,Parental Leave,20,3,17,2026,2026-09-05T12:00:00
LB0351,EMP089,Annual Leave,25,5,20,2026,2026-09-20T14:30:00
LB0352,EMP089,Sick Leave,12,5,7,2026,2026-09-14T17:15:00
LB0353,EMP089,Personal Leave,5,2,3,2026,2026-09-20T11:45:00
LB0354,EMP089,Parental Leave,20,5,15,2026,2026-09-13T13:30:00
LB0355,EMP090,Annual Leave,25,9,16,2026,2026-09-08T13:45:00
LB0356,EMP090,Sick Leave,12,12,0,2026,2026-09-13T13:00:00
